,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,40,min,,,,Suit,,Wetsuit,,
,Max. depth,,,18,m,,,,,,7,mm,
,Avg. depth,,,?,m,,,,Weights,,10,kg,
,Tank pressure start,,,220,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,70,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,0,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,Red Sea Dive Centre,,,,,,,,,,Salt water,,
,,,,,,,,,Min. temperature,,?,°C,
,,,,,,,,,Visibility,,Excellent,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,Submerged tank.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,15,,,Site,,,,,Date,,,Time,
,,,,"Seven Sisters, Aqaba, Jordan",,,,,"November 14, 2022",,,12:30,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,48,min,,,,Suit,,Wetsuit,,
,Max. depth,,,12,m,,,,,,7,mm,
,Avg. depth,,,?,m,,,,Weights,,10,kg,
,Tank pressure start,,,230,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,70,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,0,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,Red Sea Dive Centre,,,,,,,,,,Salt water,,
,,,,,,,,,Min. temperature,,?,°C,
,,,,,,,,,Visibility,,Excellent,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,"Wreck of a transport plane ""C-130 Hercules"".",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,16,,,Site,,,,,Date,,,Time,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,,min,,,,Suit,,Wetsuit,,
,Max. depth,,,,m,,,,,,7,mm,
,Avg. depth,,,?,m,,,,Weights,,10,kg,
